Ticker,SmartScore,Market Capitalization,Sector,Industry
KEY/PJ,8,19612247350.0,Finance,Major Banks
KEY/PI,8,19612247350.0,Finance,Major Banks
KEY,8,19612247350.0,Finance,Major Banks
KEX,7,6222734376.0,Transportation,Marine Shipping
KEP,5,9346355496.825869,Utilities,Electric Utilities
KEN,-1,1725997748.0,Utilities,Electric Utilities
KDP,10,42931756343.0,Consumer Non-Durables,Beverages: Non-Alcoholic
KD,9,9724303526.0,Technology Services,Data Processing Services
KC,4,5226375744.56756,Technology Services,Data Processing Services
KBR,2,6925919326.999999,Technology Services,Information Technology Services
KBH,6,4689471721.0,Consumer Durables,Homebuilding
KBDC,-1,1251480000.0,Finance,Investment Managers
KB,6,20307981119.934326,Finance,Regional Banks
KARO,9,1484410062.0,Technology Services,Packaged Software
KAR,7,2200992764.0,Technology Services,Packaged Software
KALU,6,1130182356.0,Non-Energy Minerals,Aluminum
KAI,4,4562588512.999999,Producer Manufacturing,Industrial Machinery
K,-1,28354850525.000004,Consumer Non-Durables,Food: Specialty/Candy
JXN/PA,2,7139479020.0,Finance,Life/Health Insurance
JXN,2,7139479019.999999,Finance,Life/Health Insurance
JWN,5,4015596025.000001,Retail Trade,Department Stores
JSM,,1491278769.0,Finance,Finance/Rental/Leasing
JPM/PM,7,778695039653.0,Finance,Major Banks
JPM/PL,-1,778695039653.0,Finance,Major Banks
JPM/PK,7,778695039653.0,Finance,Major Banks
JPM/PJ,7,778695039653.0,Finance,Major Banks
JPM/PD,7,778695039653.0,Finance,Major Banks
JPM/PC,8,778695039653.0,Finance,Major Banks
JPM,7,778695039652.9999,Finance,Major Banks
JPC,-1,2568650000.0,Miscellaneous,Investment Trusts/Mutual Funds
JOE,4,2791984876.0,Finance,Real Estate Development
JOBY,7,5990619964.999999,Electronic Technology,Aerospace & Defense
JNPR,1,12101304536.0,Technology Services,Information Technology Services
JNJ,9,375949332888.0,Health Technology,Pharmaceuticals: Major
JLL,4,13412132182.0,Finance,Real Estate Development
